"OTU_ID","Season","Year","Random: sample","Random: pcr","Genus","guild"
"OTU1360",0.0465,0.0535,0.5308,0.3692,"Filobasidiales_gen_Incertae_sedis","other"
"OTU1362",0.0814,0.075,0.4632,0.3804,"Bannozyma","other"
"OTU1364",0.0881,0.123,0.5218,0.267,"Piskurozyma","other"
"OTU1365",0.34,0.1143,0.2824,0.2634,"Perusta","other"
"OTU1366",0.0489,0.0505,0.5043,0.3962,"Vishniacozyma","other"
"OTU1369",0.3822,0.0907,0.25,0.2771,NA,"dark_unassigned"
"OTU1370",0.2737,0.1055,0.3369,0.2838,NA,"dark_unassigned"
"OTU1373",0.2423,0.1175,0.3417,0.2986,"Antarctolichenia","other"
"OTU1376",0.087,0.0383,0.5687,0.306,"Phaeotremella","pathotroph"
"OTU1384",0.2774,0.1124,0.3458,0.2645,"Myriangiales_gen_Incertae_sedis","other"
"OTU1388",0.065,0.1191,0.6127,0.2032,"Pseudohyphozyma","other"
"OTU1390",0.0754,0.0779,0.6231,0.2236,"Mrakia","other"
"OTU1392",0.0651,0.0833,0.6327,0.219,"Bannozyma","other"
"OTU1396",0.198,0.1536,0.3755,0.2728,"Venturia","plant_associated"
"OTU1400",0.0041,0.0053,0.6336,0.357,NA,"dark_unassigned"
"OTU1410",0.0131,0.0105,0.6601,0.3163,"Venturia","plant_associated"
"OTU1412",0.0324,0.0214,0.5737,0.3726,"Piskurozyma","other"
"OTU1416",0.0363,0.0199,0.6553,0.2886,NA,"dark_unassigned"
"OTU1421",0.133,0.1316,0.3951,0.3403,"Sistotrema","plant_associated"
"OTU1424",0.053,0.0801,0.3717,0.4952,"Lophium","plant_associated"
"OTU1427",0.0927,0.0657,0.5769,0.2647,NA,"dark_unassigned"
"OTU1432",0.0097,0.0112,0.7661,0.213,NA,"plant_associated"
"OTU1449",0.1472,0.1575,0.3308,0.3645,NA,"dark_unassigned"
"OTU1450",0.1676,0.1269,0.4202,0.2852,"Ascocoryne","other"
"OTU1452",0.1954,0.2688,0.3332,0.2026,NA,"dung_saprotroph"
"OTU1453",0.0931,0.0946,0.5245,0.2879,"Piskurozyma","other"
"OTU1455",0.0049,0.0056,0.715,0.2745,NA,"dark_unassigned"
"OTU1457",0.0958,0.153,0.3804,0.3708,NA,"pathotroph"
"OTU1463",0.0568,0.0713,0.6686,0.2033,"Piskurozyma","other"
