"SampleID","Season","Year","Dung saprotroph","Plant-associated","Pathotroph","Other assigned","Unassigned / dark"
"S_1_1_P2_1C","Summer","2024",0.385046008227941,0.10722399917887,0,0,0.507729992593188
"S_1_2_P1_8D","Summer","2024",0.945624189749302,0.0163297849678334,0.000127814194679278,0.0200607421744238,0.0178574689137619
"S_1_3_P2_1D","Summer","2024",0,0.579692350939855,0.0657009743736022,0,0.354606674686543
"S_1_4_P1_1B","Summer","2024",0.903168154603251,0.0112002064967931,9.53925403033483e-05,0.0547370813249463,0.0307991650347061
"S_1_5_P2_1E","Summer","2024",0.339676600891599,0.193005618545779,0.0067854827083584,0.11766046181316,0.342871836041103
"S_1_6_P1_1C","Summer","2024",0.893302914336179,0.00949367088607595,0.00111863408890197,0.0844421548425081,0.011642625846335
"S_1_7_P1_8E","Summer","2024",0.00272763477653064,0.283747165486805,0.00828693807553825,0.144561392101563,0.560676869559563
"S_1_9_P2_1F","Summer","2024",0.0516211114703153,0.282987975931005,0.0849332401720008,0.0611840527265333,0.519273619700146
"S_2_1_P1_1E","Summer","2023",0.996646144670635,0.000622831884462798,6.79452964868507e-05,0.00168164608804955,0.000981432060365621
"S_2_10_P1_2E","Summer","2023",0.974424447783141,0.00223635840552377,4.98673400888662e-05,0.0190991912540357,0.00419013521721062
"S_2_2_P1_8G","Summer","2023",0.280084169180052,0.00182787402679386,0.00212527179631058,0.0469102896822614,0.669052395314582
"S_2_3_P1_1F","Summer","2023",0.927134323298423,0.0140002499738897,0.000761906718647539,0.0483990542083789,0.00970446580066123
"S_2_4_P1_1G","Summer","2023",0.878105655041053,0.010256706252435,0.000709946465418969,0.0925931804735863,0.018334511767507
"S_2_5_P1_1H","Summer","2023",0.457444117981543,0.380274398575558,0.0322366556167178,0.0715157440553482,0.0585290837708332
"S_2_6_P1_2D","Summer","2023",0.663826730581887,0.0157975609333541,0.000633021886565143,0.194820148486944,0.124922538111249
"S_2_7_P1_8H","Summer","2023",0.967773760957688,0.00550109208524041,0.00231265109733055,0.0219725428671452,0.00243995299259645
"S_2_8_P1_9A","Summer","2023",0,0.804265026376357,0,0.0768886082652708,0.118846365358372
"S_3_10_P1_9G","Summer","2022",0.00201794805696978,0.684829541792872,0.00337130244248244,0.0380389250499452,0.27174228265773
"S_3_2_P1_9B","Summer","2022",0.0150765089341219,0.184693650585437,0.0226561118747113,0.110106707577892,0.667467021027838
"S_3_3_P1_3A","Summer","2022",0.99543849508036,0.00063835936616444,0.000214880810264014,0.00241897988162706,0.00128928486158409
"S_3_4_P2_1H","Summer","2022",1.33340698819554e-05,0.033162784229986,0.958949161001274,2.00011048229331e-05,0.00785471959403472
"S_3_5_P1_9C","Summer","2022",0.00299143955825187,0.00710226776614731,0.00547295480184551,0.00098666862254075,0.983446669251215
"S_3_6_P1_3B","Summer","2022",0.991976100859549,0.00451575429736188,0,0.000334329130852108,0.0031738157122366
"S_3_7_P2_2D","Summer","2022",0,0.999682917162109,0,0,0.000317082837891399
"S_3_8_P1_3G","Summer","2022",0.893974942033672,0.0302663354960335,0,0.00523589027335338,0.070522832196941
"S_3_9_P1_3H","Summer","2022",0.819973215993878,0.026390748889314,0.0144229747252514,0.0419190952957932,0.0972939650957635
"W_1_1_P1_10A","Winter","2024",0.023191278493558,0.38004625041295,0.0325074331020813,0.115692104393789,0.448562933597621
"W_1_10_P2_2E","Winter","2024",0,0.13414291261096,0.209249911856721,0.08673298611576,0.569874189416558
"W_1_2_P1_10B","Winter","2024",0.0701459034792368,0.37931163486719,0.0210624766180322,0.0981668537224093,0.431313131313131
"W_1_5_P1_11A","Winter","2024",0.0234664814171587,0.363146926015978,0.144980896144495,0.284821118443904,0.183584577978465
"W_1_7_P1_11C","Winter","2024",0,0.0444580744727158,0.0356930869375965,0.0132958727395038,0.906552965850184
"W_1_8_P1_11D","Winter","2024",0,0.0883037717478729,0.0404267027896541,0.156161368158151,0.715108157304322
"W_1_9_P1_11E","Winter","2024",0.000296296296296296,0.0575892255892256,0.0538989898989899,0.0811313131313131,0.807084175084175
"W_2_1_P2_2F","Winter","2023",0.0448012765825168,0.0605029652221067,0.0595842126532262,0.0357346393896167,0.799376906152534
"W_2_10_P2_3H","Winter","2023",0.102574614627747,0.0812510249262053,0.130765209904887,0.0335919563791407,0.65181719416202
"W_2_2_P1_12A","Winter","2023",0,0.041789071680376,0,0.0311398354876616,0.927071092831962
"W_2_3_P2_2G","Winter","2023",0.0734842618320958,0.328064501434884,0.0519837835375575,0.1348335079488,0.411633945246663
"W_2_4_P2_2H","Winter","2023",0.162763889269188,0.0567536485857452,0.022830700145122,0.0601352646422606,0.697516497357685
"W_2_5_P2_3A","Winter","2023",0.0749143551454736,0.282055130177293,0,8.65828352415228e-06,0.643021856393709
"W_2_6_P2_3B","Winter","2023",4.3059522613426e-05,0.28370842961921,0.0929870390836934,0.059005899154598,0.564255572619885
"W_2_7_P2_3F","Winter","2023",0.00333803968194991,0.0808738946273315,0.0585658021847366,0.0647722374972134,0.792450026008769
"W_2_9_P2_3G","Winter","2023",0.5147817349559,0.0675561013732277,0.0142904990510215,0,0.40337166461985
"W_3_1_P2_4F","Winter","2022",0,0.973920656791824,0.0251320473073832,5.74118727752899e-05,0.000889884028016994
"W_3_10_P2_5H","Winter","2022",0.0501397900511684,0.207302491603805,0.0508431362205694,0.0161066272792812,0.675607954845176
