"Guild","n_summer","n_winter","mean_summer","mean_winter","sd_summer","sd_winter","median_summer","median_winter","iqr_summer","iqr_winter","prevalence_summer","prevalence_winter","W","p_value","q_value"
"Dung saprotroph",26,26,0.514925690312932,0.136460148434022,0.427339253888899,0.249469970578527,0.560635424281715,0.0373731155191755,0.91513007422241,0.0956487848765251,23,19,485.5,0.0069381221842575,0.0115635369737625
"Plant-associated",26,26,0.180374816558925,0.234125478078595,0.28264816675229,0.219739844206868,0.0213602669285737,0.183936251410057,0.252792268038569,0.283490770183951,26,26,211,0.019700731497422,0.0246259143717774
"Pathotroph",26,26,0.0465781972317992,0.0583694407197285,0.187257605009774,0.0638076049178985,0.000940270403774755,0.0380598948636253,0.00783676712630231,0.0427011089006324,21,23,149.5,0.000567249322743256,0.00141812330685814
"Other assigned",26,26,0.0482918033577301,0.0598385782576282,0.0516488807847678,0.063770373402973,0.0399790101728692,0.0508175168948814,0.0736794126763462,0.0713340064952002,23,24,305,0.551814893349851,0.551814893349851
"Unassigned / dark",26,26,0.209829492538614,0.511206354510026,0.277419741197796,0.276382533540843,0.0645259579838871,0.567064881018222,0.343355808879491,0.383012042266575,26,26,146,0.000300670178663405,0.00141812330685814
"Dung saprotroph (COPRO_GENERA genus only, robustness)",26,26,0.457158425095665,0.0853089171010147,0.382389026717147,0.211629392388389,0.475159767068454,6.32902785015976e-05,0.790116063216192,0.0518031606860661,22,15,517,0.000944616399052356,NA
