"OTU_ID","plant","slope","se","slope_lwr95","slope_upr95","z","p","q_BH","Genus","guild_group","separation"
"OTU340","Vaccinium",-36.059,71.885,-176.955,104.836,-0.502,0.616,NA,"Cladosporium","plant_associated",TRUE
"OTU381","Vaccinium",-11.067,4.317,-19.528,-2.606,-2.564,0.0104,0.0478,NA,"other/unassigned",FALSE
"OTU483","Vaccinium",2.487,3.846,-5.05,10.025,0.647,0.518,0.643,NA,"plant_associated",FALSE
"OTU554","Vaccinium",-6.928,2.785,-12.386,-1.469,-2.488,0.0129,0.0551,"Exobasidium","plant_associated",FALSE
"OTU594","Vaccinium",1.739,2.973,-4.089,7.566,0.585,0.559,NA,"Taphrina","plant_associated",TRUE
"OTU628","Vaccinium",0.015,1.489,-2.903,2.934,0.01,0.992,0.992,"Frutidella","other/unassigned",FALSE
"OTU636","Vaccinium",12.252,3.378,5.632,18.872,3.627,0.000286,0.00396,"Sporormiella","coprophilous",FALSE
"OTU637","Vaccinium",-3.063,2.469,-7.902,1.776,-1.241,0.215,0.379,NA,"other/unassigned",FALSE
"OTU651","Vaccinium",-88.596,10.745,-109.656,-67.535,-8.245,1.65e-16,NA,NA,"other/unassigned",TRUE
"OTU691","Vaccinium",-1.958,2.443,-6.746,2.831,-0.801,0.423,0.568,NA,"other/unassigned",FALSE
"OTU715","Vaccinium",-14.397,7.211,-28.53,-0.264,-1.997,0.0459,NA,NA,"other/unassigned",TRUE
"OTU733","Vaccinium",2.512,3.135,-3.634,8.657,0.801,0.423,0.568,"Psilolechiaceae_gen_Incertae_sedis","other/unassigned",FALSE
"OTU758","Vaccinium",-0.926,1.171,-3.222,1.37,-0.79,0.429,0.572,"Meristemomyces","plant_associated",FALSE
"OTU788","Vaccinium",-9.812,7.294,-24.109,4.485,-1.345,0.179,NA,NA,"other/unassigned",TRUE
