"OTU_ID","plant","slope","se","slope_lwr95","slope_upr95","z","p","q_BH","Genus","guild_group","separation"
"OTU628","Calluna",0.7,1.043,-1.344,2.743,0.671,0.502,0.636,"Frutidella","other/unassigned",FALSE
"OTU636","Calluna",3.916,0.516,2.904,4.927,7.587,3.27e-14,5.88e-12,"Sporormiella","coprophilous",FALSE
"OTU637","Calluna",0.579,0.408,-0.22,1.379,1.42,0.156,0.317,NA,"other/unassigned",FALSE
"OTU651","Calluna",-18.825,5.095,-28.812,-8.839,-3.695,0.00022,NA,NA,"other/unassigned",TRUE
"OTU691","Calluna",0.124,0.57,-0.994,1.241,0.217,0.828,0.867,NA,"other/unassigned",FALSE
"OTU715","Calluna",3.441,2.32,-1.107,7.989,1.483,0.138,NA,NA,"other/unassigned",TRUE
"OTU733","Calluna",-0.486,0.569,-1.601,0.628,-0.855,0.393,0.539,"Psilolechiaceae_gen_Incertae_sedis","other/unassigned",FALSE
"OTU758","Calluna",-0.686,0.791,-2.237,0.865,-0.867,0.386,0.538,"Meristemomyces","plant_associated",FALSE
"OTU788","Calluna",3.673,1.366,0.994,6.351,2.688,0.0072,NA,NA,"other/unassigned",TRUE
"OTU827","Calluna",3.148,1.083,1.025,5.271,2.906,0.00366,0.0274,NA,"other/unassigned",FALSE
"OTU911","Calluna",2.248,0.679,0.917,3.578,3.311,0.000929,NA,NA,"other/unassigned",TRUE
"OTU1183","Calluna",1.146,0.405,0.352,1.94,2.83,0.00466,NA,"Phenoliferia","other/unassigned",TRUE
"OTU1225","Calluna",1.618,0.428,0.779,2.457,3.78,0.000157,0.00314,"Coniochaeta","coprophilous",FALSE
"OTU1226","Calluna",-3.877,1.631,-7.073,-0.681,-2.378,0.0174,NA,"Phenoliferia","other/unassigned",TRUE
"OTU1242","Calluna",-2.09,0.8,-3.659,-0.521,-2.611,0.00903,NA,"Spirographa","other/unassigned",TRUE
"OTU1271","Calluna",-0.067,1.32,-2.654,2.52,-0.051,0.96,NA,"Aureobasidium","plant_associated",TRUE
"OTU1279","Calluna",1.444,0.791,-0.106,2.994,1.826,0.0679,0.192,NA,"other/unassigned",FALSE
"OTU1283","Calluna",-5.531,7.132,-19.508,8.447,-0.775,0.438,NA,NA,"other/unassigned",TRUE
"OTU1289","Calluna",-0.442,0.695,-1.804,0.92,-0.636,0.525,0.647,"Dothideales_gen_Incertae_sedis","other/unassigned",FALSE
"OTU1305","Calluna",1.514,0.409,0.712,2.315,3.701,0.000215,0.00334,NA,"coprophilous",FALSE
"OTU1320","Calluna",-0.431,0.336,-1.091,0.228,-1.282,0.2,0.356,NA,"coprophilous",FALSE
"OTU1340","Calluna",1.983,3.821,-5.506,9.473,0.519,0.604,NA,NA,"other/unassigned",TRUE
"OTU1365","Calluna",2.85,1.121,0.653,5.047,2.543,0.011,0.0487,"Perusta","other/unassigned",FALSE
"OTU1369","Calluna",-0.178,0.284,-0.734,0.377,-0.629,0.529,0.648,NA,"other/unassigned",FALSE
"OTU1370","Calluna",1.504,0.517,0.491,2.517,2.911,0.0036,0.0274,NA,"other/unassigned",FALSE
"OTU1427","Calluna",1.136,0.374,0.402,1.87,3.035,0.00241,0.0217,NA,"other/unassigned",FALSE
"OTU1","Eriophorum",2.191,0.854,0.517,3.866,2.565,0.0103,0.0478,"Thelebolus","coprophilous",FALSE
"OTU2","Eriophorum",-0.808,0.454,-1.697,0.081,-1.782,0.0748,0.198,"Myriangiales_gen_Incertae_sedis","other/unassigned",FALSE
"OTU9","Eriophorum",-1.22,0.782,-2.753,0.313,-1.56,0.119,0.267,"Cladosporium","plant_associated",FALSE
"OTU21","Eriophorum",-1.604,0.827,-3.226,0.017,-1.939,0.0525,NA,"Venturia","plant_associated",TRUE
"OTU32","Eriophorum",-0.41,0.661,-1.706,0.885,-0.621,0.535,NA,"Phenoliferia","other/unassigned",TRUE
"OTU45","Eriophorum",-0.368,0.677,-1.695,0.959,-0.543,0.587,0.696,"Coleophoma","plant_associated",FALSE
"OTU92","Eriophorum",1.086,0.449,0.206,1.966,2.418,0.0156,0.0617,NA,"coprophilous",FALSE
"OTU97","Eriophorum",1.872,1.312,-0.7,4.443,1.427,0.154,0.317,NA,"other/unassigned",FALSE
"OTU136","Eriophorum",1.378,1.813,-2.176,4.932,0.76,0.447,0.587,"Candida","plant_associated",FALSE
"OTU175","Eriophorum",1.615,2.663,-3.605,6.835,0.606,0.544,0.657,"Mrakiaceae_gen_Incertae_sedis","other/unassigned",FALSE
"OTU176","Eriophorum",-6.93,2.176,-11.194,-2.665,-3.185,0.00145,0.0163,"Dothiora","other/unassigned",FALSE
"OTU192","Eriophorum",-1.039,1.858,-4.679,2.602,-0.559,0.576,NA,"Kabatiella","plant_associated",TRUE
"OTU252","Eriophorum",0.212,0.391,-0.554,0.977,0.542,0.588,0.696,NA,"plant_associated",FALSE
"OTU258","Eriophorum",-3.37,2.056,-7.4,0.661,-1.639,0.101,NA,NA,"other/unassigned",TRUE
"OTU320","Eriophorum",-0.454,0.449,-1.334,0.426,-1.012,0.312,0.467,NA,"other/unassigned",FALSE
"OTU340","Eriophorum",-22.506,124.405,-266.339,221.327,-0.181,0.856,NA,"Cladosporium","plant_associated",TRUE
"OTU381","Eriophorum",-8.874,3.173,-15.094,-2.654,-2.796,0.00517,0.0331,NA,"other/unassigned",FALSE
"OTU483","Eriophorum",-2.701,0.854,-4.374,-1.028,-3.164,0.00155,0.0165,NA,"plant_associated",FALSE
"OTU554","Eriophorum",-5.042,3.071,-11.061,0.976,-1.642,0.101,0.238,"Exobasidium","plant_associated",FALSE
