"grouping","n_coprophilous","n_plant_assoc","copro_spec_med","plant_spec_med","wilcox_p_copro_lower","prop_diff_med","prop_diff_lwr95","prop_diff_upr95","P_copro_lower"
"FUNGuild (primary)",6,7,0.214,0.235,0.418,-0.008,-0.057,0.039,0.635
"COPRO_GENERA genus list (sensitivity)",3,7,0.253,0.235,0.808,-0.003,-0.057,0.055,0.55
