"OTU_ID","Genus","guild","beta_season_mean","beta_season_support","beta_season_CrI2.5","beta_season_CrI97.5"
"OTU1265",NA,"dark_unassigned",-0.066,0.451,-1.219,1.181
"OTU1273","Piskurozyma","other",-0.066,0.458,-1.379,1.256
"OTU1231","Coleophoma","plant_associated",-0.087,0.429,-1.069,0.872
"OTU159","Rhodotorula","plant_associated",-0.108,0.393,-0.964,0.783
"OTU104",NA,"dark_unassigned",-0.119,0.405,-1.115,0.935
"OTU1322","Heterocephalacria","pathotroph",-0.119,0.415,-1.278,1.088
"OTU457","Penicillium","dung_saprotroph",-0.126,0.403,-1.118,0.877
"OTU373",NA,"dark_unassigned",-0.15,0.395,-1.21,0.9
"OTU9","Cladosporium","plant_associated",-0.152,0.354,-0.982,0.707
"OTU46",NA,"dark_unassigned",-0.153,0.384,-1.169,0.831
"OTU1289","Dothideales_gen_Incertae_sedis","other",-0.179,0.351,-1.136,0.841
"OTU1340",NA,"dark_unassigned",-0.239,0.304,-1.179,0.69
"OTU176","Dothiora","other",-0.241,0.314,-1.238,0.713
"OTU45","Coleophoma","plant_associated",-0.261,0.269,-1.101,0.59
"OTU190","Dothideales_gen_Incertae_sedis","other",-0.268,0.327,-1.481,0.965
"OTU1215",NA,"pathotroph",-0.274,0.339,-1.479,0.896
"OTU1300",NA,"dark_unassigned",-0.279,0.292,-1.277,0.712
"OTU340","Cladosporium","plant_associated",-0.321,0.252,-1.277,0.591
"OTU1449",NA,"dark_unassigned",-0.336,0.292,-1.593,0.898
"OTU97",NA,"dark_unassigned",-0.35,0.249,-1.389,0.718
"OTU216","Hypogymnia","other",-0.357,0.278,-1.555,0.821
"OTU1206","Sporormiella","dung_saprotroph",-0.36,0.265,-1.513,0.789
"OTU265",NA,"dark_unassigned",-0.366,0.254,-1.503,0.757
"OTU1276",NA,"dark_unassigned",-0.387,0.265,-1.627,0.856
"OTU638","Vishniacozyma","other",-0.397,0.264,-1.667,0.829
"OTU192","Kabatiella","plant_associated",-0.41,0.238,-1.519,0.716
"OTU624","Parasola","other",-0.419,0.245,-1.652,0.786
"OTU637",NA,"dark_unassigned",-0.426,0.174,-1.345,0.513
"OTU1066",NA,"dark_unassigned",-0.446,0.22,-1.594,0.74
"OTU132",NA,"dark_unassigned",-0.498,0.194,-1.661,0.614
"OTU1239","Paraphaeomoniella","plant_associated",-0.508,0.146,-1.439,0.45
"OTU1416",NA,"dark_unassigned",-0.532,0.164,-1.626,0.56
"OTU93","Candida","plant_associated",-0.537,0.164,-1.645,0.546
"OTU827",NA,"dark_unassigned",-0.54,0.118,-1.416,0.307
"OTU1373","Antarctolichenia","other",-0.541,0.133,-1.553,0.384
"OTU1307",NA,"dark_unassigned",-0.551,0.172,-1.702,0.577
"OTU1384","Myriangiales_gen_Incertae_sedis","other",-0.551,0.152,-1.631,0.508
"OTU245",NA,"dark_unassigned",-0.607,0.122,-1.656,0.391
"OTU320",NA,"dark_unassigned",-0.609,0.071,-1.45,0.243
"OTU1301",NA,"dark_unassigned",-0.633,0.133,-1.738,0.471
"OTU167",NA,"dark_unassigned",-0.698,0.102,-1.824,0.36
"OTU1370",NA,"dark_unassigned",-0.726,0.092,-1.856,0.348
"OTU554","Exobasidium","plant_associated",-0.729,0.06,-1.686,0.179
"OTU1427",NA,"dark_unassigned",-0.734,0.08,-1.804,0.298
"OTU1365","Perusta","other",-0.759,0.048,-1.697,0.129
"OTU594","Taphrina","plant_associated",-0.769,0.046,-1.664,0.127
"OTU911",NA,"dark_unassigned",-0.781,0.056,-1.793,0.2
"OTU537",NA,"pathotroph",-0.792,0.071,-1.856,0.248
"OTU1452",NA,"dung_saprotroph",-0.8,0.054,-1.852,0.174
"OTU1376","Phaeotremella","pathotroph",-0.858,0.088,-2.134,0.367
"OTU1242","Spirographa","pathotroph",-0.867,0.035,-1.806,0.065
"OTU74",NA,"dark_unassigned",-0.896,0.044,-1.979,0.138
"OTU604",NA,"dark_unassigned",-0.934,0.04,-2.071,0.103
"OTU733","Psilolechiaceae_gen_Incertae_sedis","pathotroph",-1.003,0.022,-2.014,-0.017
"OTU381",NA,"dark_unassigned",-1.021,0.017,-2.069,-0.076
"OTU788",NA,"dark_unassigned",-1.094,0.015,-2.129,-0.1
"OTU715",NA,"dark_unassigned",-1.114,0.018,-2.217,-0.065
"OTU207","Microcyclospora","plant_associated",-1.119,0.013,-2.185,-0.106
"OTU1229",NA,"dark_unassigned",-1.192,0.009,-2.278,-0.209
"OTU1283",NA,"dark_unassigned",-1.246,0.009,-2.387,-0.185
"OTU2","Myriangiales_gen_Incertae_sedis","other",-1.294,0.001,-2.231,-0.389
"OTU267","Malassezia","pathotroph",-1.479,0.004,-2.648,-0.467
"OTU691",NA,"dark_unassigned",-1.59,0.002,-2.751,-0.497
"OTU1369",NA,"dark_unassigned",-2.249,0,-3.532,-1.082
