"model","num_lv","plants","logLik","AIC","dAIC"
"Plant model (num.lv=0)",0,TRUE,-5742.47277134825,12498.9455426965,117.168783055562
"Plant model (num.lv=1)",1,TRUE,-5742.47252251829,12590.9450450366,209.168285395637
"Plant model (num.lv=2)",2,TRUE,-5742.47307218936,12680.9461443787,299.169384737776
"Null: Season+Year only (num.lv=0)",0,FALSE,-5959.88837982047,12381.7767596409,0
