"Year","n_winter","n_summer","R2","F","p_value","centroid_distance","dispersion_winter","dispersion_summer"
"2022",10,9,0.0216767283732343,0.376669341343817,0.789,6.85425460170218,16.2920635170639,25.5309794542072
"2023",9,9,0.244013759597352,5.16440636734101,0.005,35.6664978428842,14.7489587318634,20.30593179083
"2024",7,8,0.137245070383757,2.0680101077863,0.127,10.3349160467523,6.85386768995869,18.5502507656222
