"metric","model","median","lwr95","upr95","P_gt0"
"q0","Season-adjusted",0.271822723727645,-0.142744921585751,0.680245482242106,0.90875
"q1","Season-adjusted",0.280006006481441,-0.13227485234841,0.696687561933123,0.915
"q2","Season-adjusted",0.259374103594484,-0.16004526838737,0.669703362379108,0.891583333333333
"q0","Drop-Year",0.329253175014489,-0.0612542516858101,0.716510851434259,0.9525
"q1","Drop-Year",0.375602347314156,-0.0385419958011379,0.80607147125455,0.962083333333333
"q2","Drop-Year",0.349468268361843,-0.0838276504029821,0.765650434603752,0.942916666666667
