"distance","rank","season_R2","season_F","season_p","year_R2","year_p","interaction_R2","interaction_p"
"robust Aitchison (rank-3)",3,0.112134469781171,6.92435108069924,0.002,0.0393281468307115,0.309,0.103603230018618,0.011
"CLR + pseudocount (true Aitchison)",51,0.0864358490480081,4.9193225443931,0.001,0.0527456915423082,0.008,0.0525671157891771,0.006
"Bray-Curtis",46,0.0881973416395843,5.05846438464451,0.001,0.0496042604617339,0.027,0.0601609796385966,0.004
"Jaccard (presence/absence)",51,0.0740068269116936,4.14749022605058,0.001,0.0517733736852537,0.004,0.0534067649189087,0.002
